"","Species","Common_name","Begin_study_date","End_study_date","Life_history_process","sex","Fucntional_form","Value","Units","Parameter_name","Sample_size","Method","Large_marine_ecosystem","More_specific_location","Reference"
"21","Trichiurus lepturus","Largehead hairtail",1997,2000,"natural mortality","both","Pauly's empirical equation",16.34,"°C","T","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"22","Trichiurus lepturus","Largehead hairtail",1997,2000,"weight at length","both","power function",2.08e-05,"NA","a","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"23","Trichiurus lepturus","Largehead hairtail",1997,2000,"weight at length","both","power function",2.9289,"NA","b","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"24","Trichiurus lepturus","Largehead hairtail",1997,2000,"total mortality","both","NA",2.9,"NA","Z","NA","length-converted catch curve","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"25","Trichiurus lepturus","Largehead hairtail",1997,2000,"fishing mortality","both","NA",2.52,"NA","F","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"26","Trichiurus lepturus","Largehead hairtail",1997,2000,"exploitation rate","both","NA",0.87,"NA","E","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"27","Trachurus japonicus","Japanese jack mackerel",1997,2000,"growth","both","von Bertalanffy",341.6,"mm","Linf","NA","ELEFAN","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"28","Trachurus japonicus","Japanese jack mackerel",1997,2000,"growth","both","von Bertalanffy",0.31,"NA","k","NA","ELEFAN","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"29","Trachurus japonicus","Japanese jack mackerel",1997,2000,"natural mortality","both","Pauly's empirical equation",0.33,"NA","M","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"30","Trachurus japonicus","Japanese jack mackerel",1997,2000,"natural mortality","both","Pauly's empirical equation",16.34,"°C","T","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"31","Trachurus japonicus","Japanese jack mackerel",1997,2000,"weight at length","both","power function",1.04e-05,"NA","a","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"32","Trachurus japonicus","Japanese jack mackerel",1997,2000,"weight at length","both","power function",3.0641,"NA","b","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"33","Trachurus japonicus","Japanese jack mackerel",1997,2000,"total mortality","both","NA",0.58,"NA","Z","NA","length-converted catch curve","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"34","Trachurus japonicus","Japanese jack mackerel",1997,2000,"fishing mortality","both","NA",0.25,"NA","F","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"35","Trachurus japonicus","Japanese jack mackerel",1997,2000,"exploitation rate","both","NA",0.43,"NA","E","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"36","Thamnaconus hypargyreus","Lesser-spotted leatherjacket",1997,2000,"growth","both","von Bertalanffy",217.6,"mm","Linf","NA","ELEFAN","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"37","Thamnaconus hypargyreus","Lesser-spotted leatherjacket",1997,2000,"growth","both","von Bertalanffy",0.23,"NA","k","NA","ELEFAN","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"38","Thamnaconus hypargyreus","Lesser-spotted leatherjacket",1997,2000,"natural mortality","both","Pauly's empirical equation",0.31,"NA","M","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"39","Thamnaconus hypargyreus","Lesser-spotted leatherjacket",1997,2000,"natural mortality","both","Pauly's empirical equation",16.34,"°C","T","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"40","Thamnaconus hypargyreus","Lesser-spotted leatherjacket",1997,2000,"weight at length","both","power function",1.66e-05,"NA","a","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"41","Thamnaconus hypargyreus","Lesser-spotted leatherjacket",1997,2000,"weight at length","both","power function",3.0584,"NA","b","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"42","Thamnaconus hypargyreus","Lesser-spotted leatherjacket",1997,2000,"total mortality","both","NA",1.55,"NA","Z","NA","length-converted catch curve","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"43","Thamnaconus hypargyreus","Lesser-spotted leatherjacket",1997,2000,"fishing mortality","both","NA",1.24,"NA","F","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"44","Thamnaconus hypargyreus","Lesser-spotted leatherjacket",1997,2000,"exploitation rate","both","NA",0.8,"NA","E","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"45","Larimichthys polyactis","Yellow croaker",1997,2000,"growth","both","von Bertalanffy",251.55,"mm","Linf","NA","ELEFAN","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"46","Larimichthys polyactis","Yellow croaker",1997,2000,"growth","both","von Bertalanffy",0.49,"NA","k","NA","ELEFAN","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"47","Larimichthys polyactis","Yellow croaker",1997,2000,"natural mortality","both","Pauly's empirical equation",0.49,"NA","M","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"48","Larimichthys polyactis","Yellow croaker",1997,2000,"natural mortality","both","Pauly's empirical equation",16.34,"°C","T","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"49","Larimichthys polyactis","Yellow croaker",1997,2000,"weight at length","both","power function",1.7e-05,"NA","a","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"50","Larimichthys polyactis","Yellow croaker",1997,2000,"weight at length","both","power function",3.0532,"NA","b","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"51","Larimichthys polyactis","Yellow croaker",1997,2000,"total mortality","both","NA",2.13,"NA","Z","NA","length-converted catch curve","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"52","Larimichthys polyactis","Yellow croaker",1997,2000,"fishing mortality","both","NA",1.64,"NA","F","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"53","Larimichthys polyactis","Yellow croaker",1997,2000,"exploitation rate","both","NA",0.77,"NA","E","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"54","Pampus argenteus","Silver pomfret",1997,2000,"growth","both","von Bertalanffy",325.5,"mm","Linf","NA","ELEFAN","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"55","Pampus argenteus","Silver pomfret",1997,2000,"growth","both","von Bertalanffy",0.33,"NA","k","NA","ELEFAN","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"56","Pampus argenteus","Silver pomfret",1997,2000,"natural mortality","both","Pauly's empirical equation",0.35,"NA","M","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"57","Pampus argenteus","Silver pomfret",1997,2000,"natural mortality","both","Pauly's empirical equation",16.34,"°C","T","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"58","Pampus argenteus","Silver pomfret",1997,2000,"weight at length","both","power function",1.8e-05,"NA","a","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"59","Pampus argenteus","Silver pomfret",1997,2000,"weight at length","both","power function",3.0874,"NA","b","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"60","Pampus argenteus","Silver pomfret",1997,2000,"total mortality","both","NA",1.13,"NA","Z","NA","length-converted catch curve","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"61","Pampus argenteus","Silver pomfret",1997,2000,"fishing mortality","both","NA",0.78,"NA","F","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"62","Pampus argenteus","Silver pomfret",1997,2000,"exploitation rate","both","NA",0.69,"NA","E","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"63","Psenopsis anomala","Pacific rudderfish",1997,2000,"growth","both","von Bertalanffy",220.5,"mm","Linf","NA","ELEFAN","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"64","Psenopsis anomala","Pacific rudderfish",1997,2000,"growth","both","von Bertalanffy",0.48,"NA","k","NA","ELEFAN","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"65","Psenopsis anomala","Pacific rudderfish",1997,2000,"natural mortality","both","Pauly's empirical equation",0.5,"NA","M","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"66","Psenopsis anomala","Pacific rudderfish",1997,2000,"natural mortality","both","Pauly's empirical equation",16.34,"°C","T","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"67","Psenopsis anomala","Pacific rudderfish",1997,2000,"weight at length","both","power function",9.98e-06,"NA","a","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"68","Psenopsis anomala","Pacific rudderfish",1997,2000,"weight at length","both","power function",3.1817,"NA","b","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"69","Psenopsis anomala","Pacific rudderfish",1997,2000,"total mortality","both","NA",1.25,"NA","Z","NA","length-converted catch curve","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"70","Psenopsis anomala","Pacific rudderfish",1997,2000,"fishing mortality","both","NA",0.75,"NA","F","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"71","Psenopsis anomala","Pacific rudderfish",1997,2000,"exploitation rate","both","NA",0.6,"NA","E","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"72","Scomberomorus niphonius","Japanese Spanish mackerel",1997,2000,"growth","both","von Bertalanffy",924.7,"mm","Linf","NA","ELEFAN","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"73","Scomberomorus niphonius","Japanese Spanish mackerel",1997,2000,"growth","both","von Bertalanffy",0.23,"NA","k","NA","ELEFAN","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"74","Scomberomorus niphonius","Japanese Spanish mackerel",1997,2000,"natural mortality","both","Pauly's empirical equation",0.21,"NA","M","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"75","Scomberomorus niphonius","Japanese Spanish mackerel",1997,2000,"natural mortality","both","Pauly's empirical equation",16.34,"°C","T","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"76","Scomberomorus niphonius","Japanese Spanish mackerel",1997,2000,"weight at length","both","power function",1.49e-06,"NA","a","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"77","Scomberomorus niphonius","Japanese Spanish mackerel",1997,2000,"weight at length","both","power function",3.2862,"NA","b","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"78","Scomberomorus niphonius","Japanese Spanish mackerel",1997,2000,"total mortality","both","NA",1,"NA","Z","NA","length-converted catch curve","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
